Mode results-cache-enc-comp results-cache-noenc-comp results-cache-noenc-nocomp results-nocache-enc-comp results-nocache-enc-comp-2 results-nocache-noenc-comp results-nocache-noenc-nocomp 
64-4 386 1450 27397 22161 27386 15263 22015 
64-8 23827 20284 26633 38077 44942 28032 5023 
64-16 35993 39211 44942 49841 77856 44137 67517 
64-32 57656 57091 113082 110339 131405 59867 84101 
64-64 55844 134702 151333 191083 238650 157643 116366 
128-4 10606 5765 6482 24913 23109 13717 23239 
128-8 29914 32979 30791 9742 42792 22538 38017 
128-16 44754 50397 48012 77149 70717 45879 64809 
128-32 69034 81992 85274 130727 147459 78768 107831 
128-64 110154 135136 166688 240662 229451 115610 137173 
128-128 117636 283188 206822 323259 374437 307696 230238 
256-4 4513 9310 13743 23112 25447 1620 26231 
256-8 22059 71550 28610 43294 45985 25612 41851 
256-16 59547 53035 55471 75606 37881 50845 30252 
256-32 92517 66701 117866 151834 138765 101710 12134 
256-64 144304 16626 136681 192917 215705 145045 155146 
256-128 219947 246112 226920 353576 469743 214413 206814 
256-256 380920 420447 344611 489442 566377 480463 383232 
512-4 15141 16139 17320 23983 24680 7179 14481 
512-8 17543 19914 20566 45221 33824 21489 19773 
512-16 46916 101830 67510 18377 98954 47619 36994 
512-32 113175 129064 121122 138156 190484 103584 111593 
512-64 188859 191982 78085 214152 245797 190619 99689 
512-128 266940 267805 332437 318768 424168 312370 206532 
512-256 378424 383766 51544 32317 568899 294103 245797 
512-512 585016 403146 400589 568296 643189 885631 467575 
1024-4 23437 22137 24868 7369 16904 12307 14033 
1024-8 23620 53466 31958 46938 51420 18803 24069 
1024-16 36035 24138 39507 77284 88100 43228 57050 
1024-32 125643 204709 46983 145869 153799 90642 112181 
1024-64 34856 180091 173914 230122 251214 143799 161745 
1024-128 289910 92552 277492 368609 331509 334087 122343 
1024-256 426646 324349 277509 480754 512293 468024 351879 
1024-512 461238 708646 504648 600291 611400 626288 117767 
1024-1024 762491 197835 203016 631723 663232 649394 608455 
2048-4 26821 6918 31261 20681 14693 8159 11551 
2048-8 37415 51158 27649 46597 46712 18379 22899 
2048-16 63411 63951 58372 77796 94061 40171 39159 
2048-32 99451 56294 84366 135058 167651 75829 116093 
2048-64 220431 368069 197470 144775 242251 201477 100146 
2048-128 349599 333825 237890 407090 419844 367424 254563 
2048-256 453802 97259 331442 603573 566849 567336 158893 
2048-512 738550 604294 605231 664711 579860 729890 446977 
2048-1024 836263 746379 432158 828120 658949 953398 788950 
2048-2048 1025442 881217 694259 833504 738550 1037456 832535 
4096-4 23402 29869 24156 24415 9691 7312 12972 
4096-8 56268 53580 45359 40864 33319 16501 16864 
4096-16 82097 61298 78747 80133 57622 32842 33057 
4096-32 131940 126606 106091 167972 160469 66174 79712 
4096-64 165054 119578 160188 242493 266648 110535 187615 
4096-128 311671 613812 207181 220509 473472 164463 193956 
4096-256 449419 435519 267558 587832 610258 565205 225375 
4096-512 573334 687365 243956 661710 643011 907988 459664 
